shot_x,shot_y,shot_type,shot_distance_feet,very left or very right shot,left or right shot,rebound_x,rebound_y,rebound_distance_feet,left or right rebound,weak or strong rebound
305,215,3PA,23.60,left,left,412,460,9.75,right,N/A
418,373,2PA,14.71,very right,right,208,492,7.99,left,weak
280,515,2PA,2.93,left,left,291,510,2.84,left,N/A
542,342,3PA,22.22,very right,right,447,539,10.04,right,strong
124,424,2PA,15.62,very left,left,282,539,1.80,left,strong
331,375,2PA,12.36,right,right,327,487,4.52,right,N/A
419,498,2PA,8.76,very right,right,279,511,3.20,left,weak
594,487,3PA,20.91,very right,right,253,518,4.29,left,weak
404,254,3PA,21.96,very right,right,356,499,4.93,right,strong
88,323,3PA,22.22,very left,left,353,502,4.63,right,weak
113,519,2PA,13.86,very left,left,343,509,3.77,right,weak
289,466,2PA,5.88,left,left,328,499,3.75,right,N/A
127,292,3PA,22.15,very left,left,367,316,16.98,right,weak
279,509,2PA,3.31,left,left,307,493,3.84,right,N/A
346,398,2PA,10.97,right,right,338,473,5.73,right,N/A
435,282,3PA,20.95,very right,right,302,503,3.14,left,weak
417,248,3PA,22.67,very right,right,290,494,3.94,left,weak
341,498,2PA,4.28,right,right,285,512,2.90,left,N/A
218,258,3PA,21.48,very left,left,394,445,9.58,right,weak
494,311,3PA,21.45,very right,right,344,513,3.62,right,strong
358,521,2PA,4.13,right,right,294,518,2.23,left,N/A
27,490,3PA,20.24,very left,left,353,511,4.21,right,weak
131,462,2PA,13.83,very left,left,261,499,4.68,left,strong
532,521,2PA,16.17,very right,right,273,518,3.12,left,weak
22,505,3PA,20.41,very left,left,426,526,8.66,right,weak
514,335,3PA,21.11,very right,right,306,485,4.41,right,strong
337,376,2PA,12.35,right,right,279,515,2.98,left,N/A
39,432,3PA,20.67,very left,left,297,498,3.54,left,strong
595,485,3PA,21.01,very right,right,362,477,6.37,right,strong
482,407,2PA,15.99,very right,right,337,515,3.17,right,strong
195,343,2PA,16.51,very left,left,330,499,3.82,right,weak
120,470,2PA,14.31,very left,left,349,513,3.90,right,weak
207,342,2PA,16.18,very left,left,212,507,7.26,left,strong
579,425,3PA,21.26,very right,right,255,522,4.04,left,weak
411,254,3PA,22.13,very right,right,249,478,6.36,left,weak
115,328,3PA,20.66,very left,left,282,506,3.38,left,strong
31,473,3PA,20.25,very left,left,342,494,4.55,right,weak
307,228,3PA,22.68,right,right,232,508,5.95,left,N/A
149,419,2PA,14.40,very left,left,271,451,7.26,left,strong
287,476,2PA,5.22,left,left,275,518,3.02,left,N/A
598,500,3PA,21.03,very right,right,354,504,4.58,right,strong
461,386,2PA,15.89,very right,right,286,522,2.28,left,weak
69,362,3PA,21.37,very left,left,356,518,4.11,right,weak
288,516,2PA,2.55,left,left,299,508,2.82,left,N/A
42,406,3PA,21.28,very left,left,224,510,6.40,left,strong
458,282,3PA,21.72,very right,right,272,509,3.62,left,weak
356,431,2PA,8.98,right,right,278,511,3.24,left,N/A
593,505,3PA,20.62,very right,right,313,492,3.94,right,strong
307,486,2PA,4.34,right,right,297,510,2.71,left,N/A
481,277,3PA,22.87,very right,right,266,512,3.78,left,weak
100,334,3PA,21.07,very left,left,336,500,3.96,right,weak
17,528,3PA,20.59,very left,left,369,518,4.93,right,weak
236,484,2PA,6.69,very left,left,306,498,3.48,right,weak
279,517,2PA,2.87,left,left,320,512,2.68,right,N/A
282,516,2PA,2.79,left,left,336,519,2.92,right,N/A
433,537,2PA,9.06,very right,right,320,518,2.29,right,strong
307,246,3PA,21.40,right,right,230,464,8.00,left,N/A
353,518,2PA,3.93,right,right,295,532,1.32,left,N/A
443,243,3PA,23.70,very right,right,225,513,6.25,left,weak
435,284,3PA,20.82,very right,right,304,369,12.65,left,weak
587,457,3PA,20.98,very right,right,434,398,13.96,right,strong
414,277,3PA,20.67,very right,right,286,497,3.83,left,weak
273,516,2PA,3.22,left,left,277,531,2.35,left,N/A
347,514,2PA,3.74,right,right,284,523,2.31,left,N/A
500,283,3PA,23.29,very right,right,387,511,6.30,right,strong
190,277,3PA,20.89,very left,left,348,519,3.59,right,weak
20,521,3PA,20.42,very left,left,341,510,3.62,right,weak
358,490,2PA,5.49,right,right,285,527,2.06,left,N/A
356,497,2PA,5.03,right,right,288,523,2.13,left,N/A
521,346,3PA,20.92,very right,right,264,522,3.47,left,weak
306,353,2PA,13.79,right,right,309,494,3.77,right,N/A
392,247,3PA,22.19,very right,right,291,512,2.71,left,weak
590,478,3PA,20.78,very right,right,175,523,9.47,left,weak
43,430,3PA,20.46,very left,left,371,519,5.03,right,weak
287,469,2PA,5.71,left,left,299,507,2.89,left,N/A
23,510,3PA,20.29,very left,left,216,505,7.06,left,strong
295,324,2PA,15.87,left,left,270,526,2.96,left,N/A
236,487,2PA,6.55,very left,left,284,516,2.70,left,strong
141,307,3PA,20.70,very left,left,139,411,15.31,left,strong
349,493,2PA,4.91,right,right,307,507,2.84,right,N/A
576,396,3PA,21.99,very right,right,306,467,5.69,right,strong
275,507,2PA,3.60,left,left,335,514,3.12,right,N/A
445,253,3PA,23.12,very right,right,300,498,3.51,left,weak
312,460,2PA,6.20,right,right,294,503,3.24,left,N/A
192,268,3PA,21.43,very left,left,328,489,4.41,right,weak
511,323,3PA,21.59,very right,right,245,500,5.47,left,weak
419,270,3PA,21.27,very right,right,270,521,3.16,left,weak
